No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,4,299,254502
1,2020,2,19,23,299,254502
2,2020,2,8,12,299,254502
3,2020,2,5,23,299,254502
4,2020,2,2,14,299,254502
5,2020,2,10,7,299,254502
6,2020,5,27,6,299,254502
7,2020,2,24,20,299,254502
8,2020,2,9,21,299,254502
9,2020,2,18,10,299,254502
10,2020,2,14,0,299,254502
11,2020,2,3,19,299,254502
12,2020,2,17,18,299,254502
13,2020,2,12,23,299,254502
14,2020,4,9,10,299,254502
15,2020,2,6,23,299,254502
16,2020,2,7,6,299,254502
17,2020,4,3,15,299,254502
18,2020,2,20,9,299,254502
19,2020,2,22,8,299,254502
20,2020,2,21,6,299,254502
21,2020,2,23,13,299,254502
22,2020,4,2,4,299,254502
23,2020,2,4,15,299,254502
