No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,23,0,470,188279
1,2020,2,8,4,470,188279
2,2020,2,5,5,470,188279
3,2020,2,22,18,470,188279
4,2020,2,6,4,470,188279
5,2020,2,4,16,470,188279
6,2020,2,7,5,470,188279
7,2020,2,20,19,470,188279
8,2020,2,13,19,470,188279
9,2020,2,10,11,470,188279
10,2020,2,24,2,470,188279
11,2020,2,12,11,470,188279
12,2020,2,19,13,470,188279
13,2020,2,21,13,470,188279
14,2020,2,25,8,470,188279
15,2020,2,2,18,470,188279
16,2020,2,3,16,470,188279
17,2020,2,9,6,470,188279
18,2020,2,14,0,470,188279
19,2020,4,2,3,470,188279
20,2020,4,3,13,470,188279
21,2020,2,17,13,470,188279
