No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,7,230,112530
1,2020,2,2,8,230,112530
2,2020,2,19,20,180,112530
3,2020,2,5,15,230,112530
4,2020,2,20,10,180,112530
5,2020,2,13,19,230,112530
6,2020,2,4,9,230,112530
7,2020,2,24,1,180,112530
8,2020,2,7,5,230,112530
9,2020,2,9,23,230,112530
10,2020,2,6,1,230,112530
11,2020,2,8,16,230,112530
12,2020,2,12,12,230,112530
13,2020,2,17,18,180,112530
14,2020,2,3,17,230,112530
15,2020,2,21,21,180,112530
16,2020,2,23,22,180,112530
17,2020,2,14,2,230,112530
18,2020,2,18,8,180,112530
19,2020,2,22,16,180,112530
20,2020,2,25,9,180,112530
