No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,16,2070,43175
1,2020,2,12,23,2070,43175
2,2020,2,8,7,2070,43175
3,2020,2,9,18,1730,74364
4,2020,2,13,18,1730,74364
5,2020,2,7,23,2070,43175
6,2020,2,9,11,2070,43175
7,2020,2,20,3,1730,74364
8,2020,2,7,0,1730,74364
9,2020,2,24,22,1730,74364
10,2020,4,2,3,2070,43175
11,2020,2,14,7,2070,43175
12,2020,2,3,20,2070,43175
13,2020,2,2,23,1730,74364
14,2020,2,3,11,1730,74364
15,2020,2,8,13,1730,74364
16,2020,2,4,12,1730,74364
17,2020,2,22,8,2070,43175
18,2020,2,4,4,2070,43175
19,2020,2,13,10,2070,43175
20,2020,2,23,5,2070,43175
21,2020,2,22,6,1730,74364
22,2020,2,24,16,2070,43175
23,2020,2,5,11,2070,43175
24,2020,2,14,7,1730,74364
25,2020,2,6,8,1730,74364
26,2020,2,20,3,2070,43175
27,2020,2,19,21,2070,43175
28,2020,2,2,16,2070,43175
29,2020,2,10,12,1730,74364
30,2020,2,23,17,1730,74364
31,2020,2,21,16,1730,74364
32,2020,2,21,12,2070,43175
33,2020,2,19,18,1730,74364
34,2020,2,12,4,1730,74364
35,2020,2,6,0,2070,43175
36,2020,2,17,20,1730,74364
37,2020,2,5,10,1730,74364
38,2020,2,18,4,2070,43175
39,2020,4,3,12,2070,43175
40,2020,3,25,12,2070,43175
41,2020,2,18,9,1730,74364
42,2020,2,25,2,2070,43175
