No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,18,8,2630,46036
1,2020,2,6,1,2650,46036
2,2020,2,13,9,2630,46036
3,2020,2,12,16,2630,46036
4,2020,2,14,8,2630,46036
5,2020,2,5,21,2650,46036
6,2020,2,9,11,2650,46036
7,2020,2,3,16,2650,46036
8,2020,2,8,20,2650,46036
9,2020,2,19,19,2630,46036
10,2020,2,21,19,2630,46036
11,2020,2,7,16,2650,46036
12,2020,2,22,9,2630,46036
13,2020,2,23,0,2630,46036
14,2020,2,10,13,2650,46036
15,2020,2,24,7,2630,46036
16,2020,2,4,23,2650,46036
17,2020,2,20,7,2630,46036
18,2020,2,25,7,2630,46036
19,2020,2,2,22,2650,46036
