No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,16,1150,91581
1,2020,2,20,14,1150,91581
2,2020,2,22,11,1150,91581
3,2020,2,14,3,1150,91581
4,2020,2,4,3,1150,91581
5,2020,2,13,11,1150,91581
6,2020,2,6,1,1150,91581
7,2020,2,7,9,1150,91581
8,2020,2,8,21,1150,91581
9,2020,2,12,11,1150,91581
10,2020,2,2,9,1150,91581
11,2020,2,3,16,1150,91581
12,2020,2,19,21,1150,91581
13,2020,2,9,22,1150,91581
14,2020,2,25,6,1150,91581
15,2020,2,23,19,1150,91581
16,2020,2,5,11,1150,91581
17,2020,2,17,20,1150,91581
18,2020,4,9,11,1090,91581
19,2020,4,3,15,1110,91581
20,2020,2,10,12,1150,91581
21,2020,4,2,4,1110,91581
22,2020,3,25,11,1110,91581
23,2020,2,24,11,1150,91581
