No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,3,1100,125768
1,2020,2,9,0,1100,125768
2,2020,2,14,3,1100,125768
3,2020,2,3,10,1100,125768
4,2020,2,24,19,1100,125768
5,2020,2,21,5,1100,125768
6,2020,2,2,19,1100,125768
7,2020,2,23,5,1100,125768
8,2020,2,19,21,1100,125768
9,2020,2,7,8,1100,125768
10,2020,2,5,8,1100,125768
11,2020,2,8,16,1100,125768
12,2020,2,20,3,1100,125768
13,2020,2,4,1,1100,125768
14,2020,2,13,21,1100,125768
15,2020,2,12,8,1100,125768
16,2020,2,10,8,1100,125768
17,2020,2,22,10,1100,125768
18,2020,2,25,1,1100,125768
19,2020,2,18,4,1100,125768
