No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,8,19,650,106787
1,2020,2,6,22,650,106787
2,2020,2,19,11,650,106787
3,2020,2,12,16,650,106787
4,2020,2,9,1,650,106787
5,2020,2,21,19,650,106787
6,2020,2,13,16,650,106787
7,2020,2,7,8,650,106787
8,2020,2,24,6,650,106787
9,2020,2,22,4,650,106787
10,2020,2,20,1,650,106787
11,2020,2,23,13,650,106787
12,2020,3,25,10,630,106787
13,2020,2,18,3,650,106787
14,2020,2,10,15,650,106787
15,2020,2,14,0,650,106787
16,2020,2,25,8,650,106787
17,2020,2,27,12,650,106787
