No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,19,1750,74019
1,2020,2,4,21,1750,74019
2,2020,2,5,11,1680,13060
3,2020,2,22,13,2100,7524
4,2020,4,2,4,1899,25046
5,2020,2,6,10,1680,13060
6,2020,2,20,1,1750,74019
7,2020,2,21,19,2100,7524
8,2020,2,9,23,1680,13060
9,2020,4,9,10,1850,34128
10,2020,2,18,8,1750,74019
11,2020,3,25,11,1750,44297
12,2020,2,4,6,2100,7524
13,2020,2,18,7,2100,7524
14,2020,2,6,3,1750,74019
15,2020,2,21,10,1750,74019
16,2020,4,3,13,1750,44297
17,2020,2,2,21,1880,13060
18,2020,2,12,11,1750,74019
19,2020,2,21,1,1680,13060
20,2020,2,10,3,2100,7524
21,2020,2,22,0,1750,74019
22,2020,2,8,19,1750,74019
23,2020,2,4,21,1680,13060
24,2020,2,24,9,1750,74019
25,2020,2,17,18,2100,7524
26,2020,2,25,7,1680,13060
27,2020,2,10,16,1750,74019
28,2020,2,24,17,2100,7524
29,2020,2,5,17,2100,7524
30,2020,2,9,2,2100,7524
31,2020,2,2,10,1750,74019
32,2020,2,13,9,2100,7524
33,2020,2,13,22,1680,13060
34,2020,2,12,9,1680,13060
35,2020,2,12,3,2100,7524
36,2020,2,23,17,1750,74019
37,2020,5,6,9,2100,7524
38,2020,2,13,20,1750,74019
39,2020,2,8,15,1680,13060
40,2020,2,6,9,2100,7524
41,2020,2,20,4,1680,13060
42,2020,5,6,9,1670,57683
43,2020,4,2,6,1730,44297
44,2020,2,20,11,2100,7524
45,2020,2,7,4,1750,74019
46,2020,2,23,23,2100,7524
47,2020,2,25,8,2100,7524
48,2020,2,8,1,2100,7524
49,2020,2,18,10,1680,13060
50,2020,2,7,9,1680,13060
51,2020,2,3,10,2100,7524
52,2020,2,14,4,1680,13060
53,2020,2,14,4,1750,74019
54,2020,2,24,4,1680,13060
55,2020,2,17,14,1750,74019
56,2020,2,23,1,1680,13060
57,2020,2,19,20,2100,7524
58,2020,2,2,21,2100,7524
59,2020,2,25,8,1750,74019
60,2020,2,22,23,1680,13060
61,2020,2,19,18,1680,13060
62,2020,2,9,11,1750,74019
63,2020,2,19,12,1750,74019
64,2020,2,5,17,1750,74019
65,2020,4,3,14,1850,34128
66,2020,2,10,8,1680,13060
67,2020,4,3,13,1899,25046
68,2020,2,3,12,1680,13060
69,2020,4,2,5,2100,7524
70,2020,4,23,2,2100,7524
71,2020,2,7,0,2100,7524
72,2020,3,25,13,2100,7524
73,2020,4,9,10,1899,25046
74,2020,4,3,14,2100,7524
75,2020,2,17,21,1680,13060
76,2020,4,2,3,1750,74019
77,2020,2,14,7,2100,7524
78,2020,5,6,8,1630,73501
79,2020,4,3,14,1750,74019
80,2020,4,9,12,1750,44297
