No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,3,1799,26302
1,2020,2,8,21,1850,26302
2,2020,2,14,0,1850,26302
3,2020,2,12,17,1850,26302
4,2020,2,7,18,1850,26302
5,2020,2,13,9,1850,26302
6,2020,2,27,13,1799,26302
7,2020,2,20,20,1799,26302
8,2020,2,22,1,1799,26302
9,2020,2,9,10,1850,26302
10,2020,2,24,12,1799,26302
11,2020,2,23,14,1799,26302
12,2020,2,17,21,1850,26302
13,2020,2,10,3,1850,26302
14,2020,4,2,4,1690,26302
15,2020,2,19,18,1799,26302
16,2020,2,18,7,1850,26302
17,2020,2,6,16,1850,26302
18,2020,2,25,5,1799,26302
19,2020,3,25,12,1690,26302
