No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,4,17,640,142393
1,2020,2,7,10,640,142393
2,2020,2,5,5,640,142393
3,2020,2,3,10,640,142393
4,2020,2,13,23,640,142393
5,2020,2,8,12,640,142393
6,2020,2,6,17,640,142393
7,2020,2,25,0,640,142393
8,2020,5,27,6,520,196608
9,2020,5,6,9,640,142393
10,2020,3,25,12,480,157668
11,2020,2,22,12,640,142393
12,2020,2,23,12,640,142393
13,2020,2,10,16,640,142393
14,2020,2,2,18,640,142393
15,2020,2,19,21,640,142393
16,2020,2,9,14,640,142393
17,2020,2,24,13,640,142393
18,2020,2,12,14,640,142393
19,2020,4,2,6,480,157668
20,2020,3,25,11,640,142393
21,2020,4,23,2,520,196608
22,2020,2,18,7,640,142393
23,2020,2,21,15,640,142393
24,2020,2,20,6,640,142393
25,2020,2,17,20,640,142393
26,2020,5,6,8,520,196608
27,2020,4,2,6,640,142393
