No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,23,540,180680
1,2020,2,9,1,540,180680
2,2020,2,10,9,540,180680
3,2020,2,21,16,540,180680
4,2020,2,12,10,540,180680
5,2020,2,19,13,540,180680
6,2020,2,23,18,540,180680
7,2020,2,13,5,540,180680
8,2020,2,5,20,540,180680
9,2020,2,8,3,540,180680
10,2020,2,20,17,540,180680
11,2020,2,14,2,540,180680
12,2020,2,3,6,560,180680
13,2020,2,2,17,560,180680
14,2020,2,22,4,540,180680
15,2020,2,24,4,540,180680
16,2020,2,3,20,540,180680
17,2020,2,17,21,540,180680
18,2020,2,7,4,540,180680
19,2020,2,4,8,540,180680
20,2020,2,25,11,540,180680
21,2020,2,18,4,540,180680
