No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,18,480,140410
1,2020,2,3,12,480,140410
2,2020,2,12,21,480,140410
3,2020,2,14,3,480,140410
4,2020,2,20,19,480,140410
5,2020,2,10,4,480,140410
6,2020,2,4,16,480,140410
7,2020,2,23,13,480,140410
8,2020,2,7,6,480,140410
9,2020,2,22,20,480,140410
10,2020,2,9,20,480,140410
11,2020,2,2,21,480,140410
12,2020,2,25,11,480,140410
13,2020,2,21,4,480,140410
14,2020,2,5,0,480,140410
15,2020,2,6,1,480,140410
16,2020,2,24,12,480,140410
17,2020,2,19,16,480,140410
18,2020,2,17,21,480,140410
19,2020,2,8,20,480,140410
20,2020,2,18,10,480,140410
