No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,3,390,202048
1,2020,3,25,11,390,202048
2,2020,2,17,13,390,202048
3,2020,2,14,5,390,202048
4,2020,2,25,0,390,202048
5,2020,2,3,0,400,202048
6,2020,2,2,14,400,202048
7,2020,2,24,7,390,202048
8,2020,2,13,9,400,202048
9,2020,2,7,9,400,202048
10,2020,2,12,18,400,202048
11,2020,2,9,17,400,202048
12,2020,2,23,1,390,202048
13,2020,2,5,11,400,202048
14,2020,2,20,18,390,202048
15,2020,2,6,0,400,202048
16,2020,2,10,9,400,202048
17,2020,2,4,13,400,202048
18,2020,2,8,4,400,202048
19,2020,2,22,0,390,202048
20,2020,2,13,22,390,202048
21,2020,2,19,12,390,202048
22,2020,2,18,7,390,202048
