No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,4,10,1690,73343
1,2020,2,9,21,1220,105285
2,2020,2,20,21,1570,70850
3,2020,2,19,21,1220,105285
4,2020,2,5,0,1690,73343
5,2020,2,4,12,1620,70850
6,2020,2,13,23,1220,105285
7,2020,2,3,4,1690,73343
8,2020,2,21,16,1520,144431
9,2020,2,13,14,1600,70850
10,2020,2,20,3,1220,105285
11,2020,2,19,21,1570,70850
12,2020,2,12,12,1600,70850
13,2020,2,18,8,1220,105285
14,2020,2,10,14,1600,70850
15,2020,2,7,4,1600,70850
16,2020,2,25,0,1550,70850
17,2020,2,5,20,1520,144431
18,2020,2,13,9,1520,144431
19,2020,2,22,11,1570,70850
20,2020,2,22,17,1220,105285
21,2020,2,6,14,1600,70850
22,2020,2,14,6,1600,70850
23,2020,2,12,5,1520,144431
24,2020,2,7,3,1520,144431
25,2020,2,12,15,1690,73343
26,2020,2,24,17,1550,70850
27,2020,2,4,2,1520,144431
28,2020,2,8,3,1520,144431
29,2020,2,8,6,1690,73343
30,2020,2,9,19,1600,70850
31,2020,2,18,5,1600,70850
32,2020,2,22,9,1520,144431
33,2020,2,24,4,1220,105285
34,2020,2,9,6,1690,73343
35,2020,2,3,18,1620,70850
36,2020,2,6,11,1520,144431
37,2020,2,10,16,1520,144431
38,2020,2,9,18,1520,144431
39,2020,2,19,19,1520,144431
40,2020,2,6,17,1690,73343
41,2020,2,21,16,1570,70850
42,2020,2,8,0,1600,70850
43,2020,2,21,16,1220,105285
44,2020,2,8,8,1220,105285
45,2020,2,23,21,1220,105285
46,2020,2,17,19,1220,105285
47,2020,2,23,13,1520,144431
48,2020,2,13,4,1690,73343
49,2020,2,25,10,1220,105285
50,2020,2,24,7,1520,144431
51,2020,2,20,8,1520,144431
52,2020,2,17,14,1600,70850
53,2020,2,14,4,1220,105285
54,2020,2,23,21,1570,70850
55,2020,2,23,1,1690,73343
56,2020,2,10,4,1220,105285
57,2020,2,5,14,1600,70850
58,2020,2,12,19,1220,105285
59,2020,2,27,12,1520,144431
60,2020,2,21,12,1690,73343
61,2020,2,22,20,1690,73343
62,2020,5,6,8,1500,70850
63,2020,5,27,6,1390,119000
64,2020,2,2,7,1520,144431
65,2020,2,14,8,1520,144431
66,2020,2,5,2,1620,70850
67,2020,2,7,9,1690,73343
68,2020,2,3,16,1520,144431
69,2020,2,19,22,1690,73343
70,2020,2,24,0,1570,70850
71,2020,2,2,17,1690,73343
72,2020,2,24,21,1690,73343
73,2020,2,17,21,1690,73343
74,2020,2,10,12,1690,73343
75,2020,2,20,2,1690,73343
76,2020,2,18,5,1520,144431
77,2020,2,25,8,1520,144431
78,2020,2,14,4,1690,73343
79,2020,4,2,4,1500,70850
80,2020,4,2,4,1450,119000
81,2020,2,25,8,1690,73343
