No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,19,17,3330,8669
1,2020,2,12,23,3330,8669
2,2020,2,24,13,3330,8669
3,2020,2,13,15,3330,8669
4,2020,2,7,13,3330,8669
5,2020,2,5,17,3330,8669
6,2020,2,8,0,3330,8669
7,2020,2,14,8,3330,8669
8,2020,2,17,14,3330,8669
9,2020,2,3,8,3330,8669
10,2020,4,23,2,2990,12723
11,2020,2,6,9,3330,8669
12,2020,2,9,4,3330,8669
13,2020,2,4,16,3330,8669
14,2020,2,20,6,3330,8669
15,2020,2,25,0,3330,8669
16,2020,3,25,12,3590,1634
17,2020,4,2,5,3590,1634
18,2020,2,2,7,3330,8669
19,2020,2,10,17,3330,8669
20,2020,2,21,2,3330,8669
21,2020,5,6,23,3470,1634
22,2020,2,23,17,3330,8669
23,2020,4,3,12,3590,1634
24,2020,2,22,23,3330,8669
25,2020,4,2,3,3090,6499
26,2020,2,18,8,3330,8669
