No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,19,2830,49605
1,2020,2,7,20,2590,47770
2,2020,2,13,5,2520,47770
3,2020,2,23,7,2500,47770
4,2020,2,25,10,2480,47770
5,2020,2,24,13,2500,47770
6,2020,2,8,19,2590,47770
7,2020,5,6,7,2340,45400
8,2020,2,12,5,2520,47770
9,2020,2,3,7,2590,47770
10,2020,2,14,6,2520,47770
11,2020,2,24,16,2830,49605
12,2020,2,10,15,2520,47770
13,2020,2,13,17,2830,49605
14,2020,2,6,8,2590,47770
15,2020,2,8,5,2830,49605
16,2020,2,4,12,2830,49605
17,2020,2,2,8,2590,47770
18,2020,2,22,0,2830,49605
19,2020,2,21,20,2500,47770
20,2020,2,7,10,2830,49605
21,2020,2,14,0,2830,49605
22,2020,2,19,16,2520,47770
23,2020,2,22,15,2500,47770
24,2020,2,19,10,2830,49605
25,2020,4,9,11,2830,49605
26,2020,2,2,17,2830,49605
27,2020,2,5,3,2830,49605
28,2020,2,3,6,2830,49605
29,2020,2,21,22,2830,49605
30,2020,2,5,18,2590,47770
31,2020,2,25,8,2830,49605
32,2020,2,12,17,2830,49605
33,2020,2,10,10,2830,49605
34,2020,2,9,21,2590,47770
35,2020,2,6,20,2830,49605
36,2020,2,20,4,2520,47770
37,2020,2,4,7,2590,47770
38,2020,2,20,14,2500,47770
39,2020,2,23,23,2830,49605
40,2020,2,18,6,2830,49605
41,2020,4,3,13,2440,47770
42,2020,3,25,11,2440,47770
43,2020,2,17,13,2520,47770
44,2020,5,7,0,2690,49605
45,2020,2,20,17,2830,49605
46,2020,4,2,5,3060,21425
47,2020,3,25,11,3150,21425
48,2020,5,6,8,2690,49605
49,2020,4,3,14,2830,49605
50,2020,3,25,12,2830,49605
51,2020,2,18,4,2520,47770
