No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,6,680,106253
1,2020,2,22,8,740,136418
2,2020,2,4,5,740,136418
3,2020,2,6,19,680,106253
4,2020,2,22,20,680,106253
5,2020,2,13,1,680,106253
6,2020,2,25,8,740,136418
7,2020,2,7,19,680,106253
8,2020,2,4,5,680,106253
9,2020,2,3,22,740,136418
10,2020,2,13,22,740,136418
11,2020,2,12,21,680,106253
12,2020,2,2,11,680,106253
13,2020,2,3,10,680,106253
14,2020,2,23,22,740,136418
15,2020,2,8,21,740,136418
16,2020,2,5,15,680,106253
17,2020,2,12,23,740,136418
18,2020,2,5,9,740,136418
19,2020,2,14,9,740,136418
20,2020,2,21,4,680,106253
21,2020,2,21,4,740,136418
22,2020,2,20,12,740,136418
23,2020,2,9,22,740,136418
24,2020,2,10,11,740,136418
25,2020,2,9,11,680,106253
26,2020,2,18,6,680,106253
27,2020,2,18,4,740,136418
28,2020,2,6,3,740,136418
29,2020,2,24,22,740,136418
30,2020,2,7,17,740,136418
31,2020,2,2,21,740,136418
32,2020,2,19,22,740,136418
33,2020,2,10,16,680,106253
34,2020,2,20,0,680,106253
35,2020,2,24,19,680,106253
36,2020,2,17,19,680,106253
37,2020,2,23,11,680,106253
38,2020,2,8,13,680,106253
39,2020,2,19,13,680,106253
40,2020,2,25,2,680,106253
