No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,18,5,1350,71000
1,2020,2,8,6,1230,56861
2,2020,2,25,7,1230,56861
3,2020,2,23,9,1230,56861
4,2020,2,19,20,1350,71000
5,2020,2,20,14,1350,71000
6,2020,2,14,7,1230,56861
7,2020,2,12,9,1350,71000
8,2020,2,21,21,1350,71000
9,2020,2,4,4,1230,56861
10,2020,2,9,4,1350,71000
11,2020,2,13,0,1350,71000
12,2020,2,6,15,1230,56861
13,2020,2,8,22,1350,71000
14,2020,2,10,14,1350,71000
15,2020,2,10,7,1230,56861
16,2020,2,21,16,1230,56861
17,2020,4,3,14,1379,23390
18,2020,2,13,16,1230,56861
19,2020,2,7,8,1230,56861
20,2020,2,23,14,1350,71000
21,2020,2,24,18,1230,56861
22,2020,2,5,11,1230,56861
23,2020,2,22,2,1350,71000
24,2020,4,9,10,1379,23390
25,2020,2,3,6,1230,56861
26,2020,4,2,6,1379,23390
27,2020,2,12,9,1230,56861
28,2020,2,27,13,1230,56861
29,2020,2,20,11,1230,56861
30,2020,2,24,7,1350,71000
31,2020,2,14,5,1350,71000
32,2020,2,9,16,1230,56861
33,2020,2,17,19,1230,56861
34,2020,2,22,3,1230,56861
35,2020,2,19,18,1230,56861
36,2020,3,25,11,1469,23390
37,2020,2,2,21,1230,56861
38,2020,2,25,3,1350,71000
