No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,18,3,1490,12905
1,2020,2,9,3,1490,12905
2,2020,2,20,2,1150,23970
3,2020,2,24,9,1490,12905
4,2020,2,5,16,1150,23970
5,2020,2,22,3,1150,23970
6,2020,2,14,5,1490,12905
7,2020,3,25,12,1019,28300
8,2020,2,12,23,1150,23970
9,2020,2,13,5,1150,23970
10,2020,2,27,13,1150,23970
11,2020,2,20,23,1490,12905
12,2020,2,2,9,1150,23970
13,2020,2,3,4,1150,23970
14,2020,2,22,3,1490,12905
15,2020,2,17,18,1150,23970
16,2020,2,12,6,1490,12905
17,2020,2,8,20,1490,12905
18,2020,2,21,22,1150,23970
19,2020,2,6,17,1150,23970
20,2020,2,14,9,1150,23970
21,2020,2,19,19,1150,23970
22,2020,2,13,8,1490,12905
23,2020,2,4,14,1150,23970
24,2020,4,2,6,1000,23970
25,2020,2,24,12,1150,23970
26,2020,2,23,23,1150,23970
27,2020,4,3,14,1019,28300
28,2020,2,19,10,1490,12905
29,2020,2,9,18,1150,23970
30,2020,2,10,4,1150,23970
31,2020,3,25,12,1000,23970
32,2020,2,8,12,1150,23970
33,2020,2,23,1,1490,12905
34,2020,2,10,10,1490,12905
35,2020,2,17,13,1490,12905
36,2020,2,7,9,1150,23970
37,2020,2,18,7,1150,23970
38,2020,4,3,13,1000,23970
39,2020,2,25,6,1490,12905
