No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,0,1030,72537
1,2020,2,6,3,1030,72537
2,2020,4,2,6,1200,79000
3,2020,2,22,23,1020,72730
4,2020,2,4,17,1030,72537
5,2020,2,22,8,1290,72251
6,2020,2,21,8,1030,72537
7,2020,2,12,13,1030,72537
8,2020,2,10,1,1030,72537
9,2020,2,5,4,1030,72537
10,2020,4,3,13,960,72730
11,2020,2,21,18,1290,72251
12,2020,2,7,1,1030,72537
13,2020,2,2,17,1030,72537
14,2020,3,25,11,1390,25258
15,2020,4,2,3,960,72730
16,2020,2,13,0,1030,72537
17,2020,2,23,0,1030,72537
18,2020,2,22,4,1030,72537
19,2020,4,9,12,1170,79000
20,2020,2,21,11,1020,72730
21,2020,2,20,5,1030,72537
22,2020,2,3,3,1030,72537
23,2020,2,23,14,1290,72251
24,2020,5,6,8,960,72730
25,2020,2,24,16,1290,72251
26,2020,2,8,3,1030,72537
27,2020,2,18,7,1030,72537
28,2020,2,25,11,1030,72537
29,2020,2,23,13,1020,72730
30,2020,2,19,14,1030,72537
31,2020,2,14,8,1030,72537
32,2020,4,3,15,1200,79000
33,2020,2,24,10,1020,72730
34,2020,4,3,13,1350,25258
35,2020,2,24,19,1030,72537
36,2020,4,2,3,1350,25258
37,2020,2,25,4,1290,72251
38,2020,3,25,13,1230,0
39,2020,2,25,10,1020,72730
40,2020,2,17,19,1030,72537
41,2020,4,9,12,960,72730
