No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,12,10,330,151382
1,2020,2,8,23,330,151382
2,2020,2,22,22,330,151382
3,2020,2,7,18,330,151382
4,2020,2,13,0,330,151382
5,2020,2,9,6,330,151382
6,2020,5,6,7,320,83152
7,2020,2,6,16,330,151382
8,2020,2,4,23,330,151382
9,2020,4,2,3,330,155574
10,2020,4,2,4,360,83799
11,2020,2,5,7,330,151382
12,2020,2,10,14,330,151382
13,2020,2,24,23,330,151382
14,2020,4,3,14,360,83152
15,2020,2,23,1,330,151382
16,2020,2,3,1,330,151382
17,2020,4,3,13,360,83799
18,2020,2,21,19,330,151382
19,2020,4,2,4,330,151382
20,2020,2,2,13,330,151382
21,2020,2,25,10,330,155574
22,2020,3,25,12,360,83799
23,2020,4,9,10,330,151382
24,2020,2,27,12,330,151382
25,2020,2,25,3,330,151382
26,2020,4,3,12,330,155574
27,2020,2,20,11,330,151382
28,2020,2,14,0,330,151382
29,2020,4,3,14,330,151382
30,2020,2,18,9,330,151382
31,2020,4,9,11,340,83152
