No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,5,720,256117
1,2020,2,24,9,720,256117
2,2020,2,13,1,830,173983
3,2020,2,12,8,900,0
4,2020,2,22,9,860,173983
5,2020,2,21,6,860,173983
6,2020,2,21,9,720,256117
7,2020,2,24,15,860,173983
8,2020,2,24,9,900,0
9,2020,2,8,19,1040,0
10,2020,2,13,12,900,0
11,2020,2,14,1,900,0
12,2020,2,23,6,900,0
13,2020,2,23,3,860,173983
14,2020,2,14,7,720,256117
15,2020,2,13,19,860,173983
16,2020,2,19,20,860,173983
17,2020,2,25,7,900,0
18,2020,2,7,3,720,256117
19,2020,2,22,2,900,0
20,2020,2,21,11,900,0
21,2020,2,4,12,720,256117
22,2020,2,19,14,900,0
23,2020,2,3,11,990,0
24,2020,2,20,20,860,173983
25,2020,2,12,8,830,173983
26,2020,2,20,20,900,0
27,2020,2,9,20,720,256117
28,2020,2,7,18,1040,0
29,2020,2,25,6,860,173983
30,2020,2,5,21,1090,0
31,2020,2,9,4,1040,0
32,2020,2,6,19,1040,0
33,2020,2,10,11,1040,0
34,2020,2,18,3,860,173983
35,2020,2,18,8,900,0
36,2020,2,18,7,720,256117
37,2020,2,14,7,860,173983
38,2020,2,5,16,720,256117
39,2020,2,17,13,900,0
40,2020,2,4,14,1090,0
41,2020,2,12,16,720,256117
42,2020,2,6,8,720,256117
43,2020,2,17,20,860,173983
44,2020,2,20,11,720,256117
45,2020,2,17,13,720,256117
46,2020,2,3,21,720,256117
47,2020,2,8,22,720,256117
48,2020,2,25,3,720,256117
49,2020,2,13,12,720,256117
50,2020,2,4,2,990,0
51,2020,2,22,7,720,256117
52,2020,2,23,18,720,256117
53,2020,4,9,12,790,173983
54,2020,2,12,5,1040,0
55,2020,2,2,12,720,256117
56,2020,2,19,23,720,256117
57,2020,4,3,14,810,173983
58,2020,2,27,12,860,173983
59,2020,4,2,4,810,173983
