No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,14,2460,82143
1,2020,2,9,15,2190,97652
2,2020,2,20,15,2910,43246
3,2020,2,13,2,2600,41000
4,2020,2,12,17,2910,43246
5,2020,2,6,23,2460,82143
6,2020,2,20,15,2460,82143
7,2020,2,9,23,2600,41000
8,2020,4,9,12,2260,96385
9,2020,2,24,10,2460,82143
10,2020,4,2,4,2580,71904
11,2020,2,23,18,2190,97652
12,2020,2,9,17,2910,43246
13,2020,2,4,9,2460,82143
14,2020,2,3,8,2190,97652
15,2020,2,5,9,2600,41000
16,2020,2,23,2,2630,73547
17,2020,2,6,17,2190,97652
18,2020,2,12,16,2190,97652
19,2020,2,18,7,2460,82143
20,2020,2,8,8,2910,43246
21,2020,2,19,23,2460,82143
22,2020,2,5,19,2190,97652
23,2020,2,22,1,2910,43246
24,2020,2,9,18,2460,82143
25,2020,2,24,10,2630,73547
26,2020,2,10,3,2460,82143
27,2020,2,2,12,2190,97652
28,2020,2,23,0,2750,24546
29,2020,2,4,14,2600,41000
30,2020,2,14,1,2460,82143
31,2020,2,8,2,2460,82143
32,2020,2,7,2,2910,43246
33,2020,2,7,2,2460,82143
34,2020,4,3,14,2530,73547
35,2020,2,23,6,2910,43246
36,2020,3,25,11,2630,73547
37,2020,2,21,19,2460,82143
38,2020,2,6,23,2600,41000
39,2020,2,3,0,2600,41000
40,2020,2,24,8,2750,24546
41,2020,3,25,12,2190,97652
42,2020,2,4,5,2190,97652
43,2020,2,19,10,2600,41000
44,2020,2,13,22,2910,43246
45,2020,2,14,10,2910,43246
46,2020,2,12,14,2460,82143
47,2020,2,22,15,2630,73547
48,2020,2,7,10,2600,41000
49,2020,2,21,12,2600,41000
50,2020,2,10,3,2600,41000
51,2020,2,21,20,2910,43246
52,2020,2,10,14,2190,97652
53,2020,2,22,2,2750,24546
54,2020,2,8,1,2190,97652
55,2020,2,23,11,2600,41000
56,2020,2,19,13,2750,24546
57,2020,2,2,20,2600,41000
58,2020,2,21,3,2750,24546
59,2020,2,25,6,2750,24546
60,2020,2,7,7,2190,97652
61,2020,4,23,2,2390,68338
62,2020,2,6,7,2910,43246
63,2020,2,5,1,2910,43246
64,2020,2,10,16,2910,43246
65,2020,2,23,12,2460,82143
66,2020,4,9,10,2600,46500
67,2020,4,2,5,2530,73547
68,2020,2,17,18,2460,82143
69,2020,2,25,1,2910,43246
70,2020,2,13,17,2190,97652
71,2020,2,20,12,2600,41000
72,2020,2,18,3,2600,41000
73,2020,2,14,1,2190,97652
74,2020,2,5,0,2460,82143
75,2020,2,12,22,2600,41000
76,2020,4,2,5,2600,46500
77,2020,2,25,7,2630,73547
78,2020,2,27,12,2750,24546
79,2020,2,24,4,2910,43246
80,2020,4,3,15,2190,97652
81,2020,2,8,9,2600,41000
82,2020,2,20,6,2190,97652
83,2020,4,3,15,2450,68338
84,2020,2,24,7,2190,97652
85,2020,4,3,12,2880,43800
86,2020,2,21,17,2190,97652
87,2020,4,9,10,2530,73547
88,2020,2,4,15,2910,43246
89,2020,4,2,3,2190,97652
90,2020,3,25,12,2580,71904
91,2020,2,22,2,2460,82143
92,2020,4,9,11,2450,68338
93,2020,2,14,1,2600,41000
94,2020,2,19,11,2190,97652
95,2020,2,25,10,2590,59601
96,2020,2,21,13,2630,73547
97,2020,2,3,17,2460,82143
98,2020,2,17,13,2910,43246
99,2020,2,25,7,2460,82143
100,2020,3,25,12,2600,46500
101,2020,2,20,15,2750,24546
102,2020,2,19,15,2910,43246
103,2020,3,25,11,2490,68338
104,2020,2,24,15,2600,41000
105,2020,4,3,13,2600,46500
106,2020,4,3,14,2260,96385
107,2020,3,25,12,2880,43800
108,2020,2,22,16,2190,97652
109,2020,2,18,6,2910,43246
110,2020,5,6,23,2480,73547
111,2020,2,22,6,2600,41000
112,2020,2,17,20,2190,97652
113,2020,2,24,18,2590,59601
114,2020,4,2,5,2450,68338
115,2020,4,2,3,2260,96385
116,2020,5,6,8,2170,121505
117,2020,2,25,6,2190,97652
118,2020,4,2,4,2800,73307
119,2020,4,9,12,2340,30706
