No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,4,2200,142501
1,2020,2,18,5,2200,142501
2,2020,2,4,12,2200,142501
3,2020,2,8,5,2090,150422
4,2020,2,23,9,2200,142501
5,2020,2,22,21,2750,48450
6,2020,2,20,3,2200,142501
7,2020,2,25,4,2090,150422
8,2020,2,14,9,2090,150422
9,2020,2,20,0,2750,48450
10,2020,2,25,7,2200,142501
11,2020,4,9,11,2640,48450
12,2020,2,5,20,2200,142501
13,2020,4,3,14,2100,142501
14,2020,2,9,17,2200,142501
15,2020,2,12,15,2200,142501
16,2020,2,20,9,2090,150422
17,2020,2,2,15,2200,142501
18,2020,2,6,9,2090,150422
19,2020,2,19,20,2090,150422
20,2020,2,13,18,2090,150422
21,2020,2,3,11,2090,150422
22,2020,3,25,11,2190,130449
23,2020,2,9,14,2090,150422
24,2020,2,4,12,2090,150422
25,2020,2,7,19,2090,150422
26,2020,2,10,14,2200,142501
27,2020,2,22,0,2200,142501
28,2020,2,10,8,2090,150422
29,2020,4,23,2,2100,142501
30,2020,2,24,1,2200,142501
31,2020,5,6,7,2050,142501
32,2020,2,7,14,2200,142501
33,2020,2,2,17,2090,150422
34,2020,2,21,2,2750,48450
35,2020,2,23,6,2750,48450
36,2020,2,25,11,2750,48450
37,2020,2,22,14,2090,150422
38,2020,2,12,19,2090,150422
39,2020,2,21,4,2200,142501
40,2020,4,2,5,2150,142501
41,2020,2,8,1,2200,142501
42,2020,2,3,1,2200,142501
43,2020,2,24,9,2090,150422
44,2020,2,5,4,2090,150422
45,2020,4,3,15,2190,130449
46,2020,2,19,21,2200,142501
47,2020,2,24,20,2750,48450
48,2020,2,23,12,2090,150422
49,2020,5,6,23,2640,48450
50,2020,2,19,10,2750,48450
51,2020,2,17,13,2200,142501
52,2020,2,17,13,2090,150422
53,2020,5,7,0,2050,142501
54,2020,2,21,5,2090,150422
55,2020,2,13,11,2200,142501
56,2020,3,25,12,2150,142501
57,2020,5,6,23,2150,130449
