No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,14,2350,125015
1,2020,2,2,22,2390,126166
2,2020,2,23,3,2390,126166
3,2020,2,22,4,2580,93764
4,2020,2,3,15,2840,116457
5,2020,2,18,9,2790,116457
6,2020,2,19,14,2790,116457
7,2020,2,8,21,2650,91150
8,2020,5,6,23,2170,93794
9,2020,2,3,2,2480,93764
10,2020,2,6,10,2840,116457
11,2020,2,6,22,2450,147977
12,2020,2,22,21,2750,116457
13,2020,2,13,12,2390,126166
14,2020,2,22,11,1590,163667
15,2020,2,12,9,2650,91150
16,2020,2,9,16,2350,125015
17,2020,2,13,16,2580,93764
18,2020,2,10,3,2350,125015
19,2020,2,2,10,2450,147977
20,2020,2,8,18,2450,147977
21,2020,2,4,15,2370,125015
22,2020,2,7,22,2350,125015
23,2020,2,4,19,2450,147977
24,2020,2,24,6,2350,125015
25,2020,4,2,5,2980,40783
26,2020,2,24,15,2580,93764
27,2020,2,12,21,2450,147977
28,2020,2,7,23,2840,116457
29,2020,2,22,10,2350,125015
30,2020,2,8,11,2480,93764
31,2020,2,20,19,2350,125015
32,2020,2,8,19,2350,125015
33,2020,2,12,8,2580,93764
34,2020,2,21,10,1590,163667
35,2020,3,25,12,2480,93764
36,2020,2,14,7,2820,116457
37,2020,2,23,0,2750,116457
38,2020,2,20,19,2750,116457
39,2020,2,20,5,2460,147977
40,2020,2,23,6,1590,163667
41,2020,2,10,9,2450,147977
42,2020,2,13,13,2820,116457
43,2020,2,2,13,2370,125015
44,2020,2,19,15,2650,91150
45,2020,2,19,20,2580,93764
46,2020,2,24,7,2650,91150
47,2020,2,12,8,2350,125015
48,2020,2,12,16,2820,116457
49,2020,2,2,21,2480,93764
50,2020,4,3,13,2460,147977
51,2020,2,9,18,2480,93764
52,2020,2,13,7,2650,91150
53,2020,2,23,21,2650,91150
54,2020,2,10,14,2480,93764
55,2020,2,21,5,2460,147977
56,2020,2,10,3,2840,116457
57,2020,2,5,5,2370,125015
58,2020,2,21,13,2750,116457
59,2020,2,5,10,2840,116457
60,2020,2,21,9,2390,126166
61,2020,2,14,7,2350,125015
62,2020,2,4,23,2480,93764
63,2020,2,4,2,2840,116457
64,2020,2,7,23,2390,126166
65,2020,2,23,13,2350,125015
66,2020,2,21,18,2580,93764
67,2020,2,3,1,2370,125015
68,2020,2,14,5,2580,93764
69,2020,4,2,4,2430,108967
70,2020,2,3,2,2650,91150
71,2020,2,6,6,2390,126166
72,2020,2,23,17,2580,93764
73,2020,2,14,7,2650,91150
74,2020,2,12,12,2390,126166
75,2020,2,19,12,2460,147977
76,2020,2,24,21,2750,116457
77,2020,2,2,20,2650,91150
78,2020,2,22,13,2650,91150
79,2020,2,7,6,2450,147977
80,2020,2,5,16,2650,91150
81,2020,2,17,19,2390,126166
82,2020,2,13,19,2450,147977
83,2020,2,6,13,2480,93764
84,2020,2,3,20,2450,147977
85,2020,2,7,9,2650,91150
86,2020,2,18,4,2580,93764
87,2020,2,24,4,2460,147977
88,2020,2,18,7,2350,125015
89,2020,2,7,3,2480,93764
90,2020,2,8,9,2390,126166
91,2020,2,4,17,2390,126166
92,2020,2,20,17,2650,91150
93,2020,4,3,14,2980,40783
94,2020,2,14,5,2390,126166
95,2020,2,6,1,2650,91150
96,2020,3,25,12,2460,147977
97,2020,2,25,2,1590,163667
98,2020,2,25,2,2580,93764
99,2020,2,25,4,2750,116457
100,2020,2,21,2,2650,91150
101,2020,2,22,18,2390,126166
102,2020,4,9,10,3099,35411
103,2020,2,23,7,2460,147977
104,2020,2,21,12,2350,125015
105,2020,5,6,8,1930,138804
106,2020,2,14,9,2450,147977
107,2020,2,25,4,2390,126166
108,2020,2,24,11,2390,126166
109,2020,2,8,10,2840,116457
110,2020,2,9,17,2840,116457
111,2020,2,22,13,2460,147977
112,2020,2,20,5,2580,93764
113,2020,2,2,19,2840,116457
114,2020,2,18,6,2390,126166
115,2020,2,5,9,2450,147977
116,2020,2,9,12,2390,126166
117,2020,2,4,3,2650,91150
118,2020,4,23,2,2830,64870
119,2020,2,5,12,2480,93764
120,2020,2,24,11,1590,163667
121,2020,2,17,20,2580,93764
122,2020,2,19,22,2390,126166
123,2020,2,9,7,2450,147977
124,2020,2,10,18,2650,91150
125,2020,2,3,15,2390,126166
126,2020,5,6,8,1850,175553
127,2020,2,5,22,2390,126166
128,2020,2,17,14,2820,116457
129,2020,3,25,11,2830,0
130,2020,2,6,11,2350,125015
131,2020,4,9,11,2890,50458
132,2020,2,25,5,2460,147977
133,2020,2,19,18,2350,125015
134,2020,5,6,23,2890,74862
135,2020,2,9,16,2650,91150
136,2020,2,17,20,2650,91150
137,2020,5,10,23,2949,35411
138,2020,5,6,7,2890,50458
139,2020,2,20,9,2390,126166
140,2020,4,3,14,2430,108967
141,2020,4,9,10,2980,64870
142,2020,4,2,6,2480,93764
143,2020,2,10,18,2390,126166
144,2020,2,18,6,2450,147977
145,2020,2,17,18,2350,125015
146,2020,5,27,6,2240,129221
147,2020,2,25,5,2350,125015
148,2020,5,6,8,2380,93764
149,2020,4,9,11,2980,40783
150,2020,4,2,4,2830,0
151,2020,2,6,6,2370,125015
152,2020,2,18,6,2650,91150
153,2020,4,9,11,2440,93764
154,2020,2,20,0,2790,116457
155,2020,2,25,8,2650,91150
