No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,19,23,2880,57648
1,2020,2,14,9,2880,57648
2,2020,2,13,21,2880,57648
3,2020,2,20,7,2880,57648
4,2020,2,5,11,2880,57648
5,2020,2,7,14,2880,57648
6,2020,2,23,23,2880,57648
7,2020,2,4,3,2880,57648
8,2020,2,2,17,2880,57648
9,2020,2,12,17,2880,57648
10,2020,2,9,4,2880,57648
11,2020,2,8,19,2880,57648
12,2020,2,3,12,2880,57648
13,2020,2,17,20,2880,57648
14,2020,2,21,16,2880,57648
15,2020,2,18,9,2880,57648
16,2020,2,10,7,2880,57648
17,2020,2,22,14,2880,57648
18,2020,2,6,8,2880,57648
19,2020,2,24,4,2880,57648
