No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,16,220,98821
1,2020,2,5,12,220,98821
2,2020,2,13,22,220,98821
3,2020,2,25,10,220,98821
4,2020,2,8,13,220,98821
5,2020,2,23,13,220,98821
6,2020,2,4,3,220,98821
7,2020,2,2,8,220,98821
8,2020,2,21,4,220,98821
9,2020,2,22,0,220,98821
10,2020,2,9,0,220,98821
11,2020,2,10,18,220,98821
12,2020,2,6,1,220,98821
13,2020,2,14,6,220,98821
14,2020,4,2,3,210,98821
15,2020,2,3,15,220,98821
16,2020,2,12,15,220,98821
17,2020,4,3,14,210,98821
18,2020,2,24,10,220,98821
19,2020,2,19,17,220,98821
20,2020,2,20,2,220,98821
21,2020,2,17,20,220,98821
22,2020,2,18,7,220,98821
