No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,0,390,86525
1,2020,2,21,6,420,157678
2,2020,2,10,10,390,86525
3,2020,2,6,2,390,86525
4,2020,2,20,6,390,86525
5,2020,2,2,10,390,86525
6,2020,2,25,9,390,86525
7,2020,2,6,4,470,114000
8,2020,2,22,14,390,86525
9,2020,2,8,23,390,86525
10,2020,2,7,17,390,86525
11,2020,2,3,23,470,114000
12,2020,2,5,0,470,114000
13,2020,2,23,23,470,114000
14,2020,2,12,8,470,114000
15,2020,2,4,14,470,114000
16,2020,2,24,1,420,157678
17,2020,2,5,2,390,86525
18,2020,2,19,19,390,86525
19,2020,2,19,15,470,114000
20,2020,2,7,21,470,114000
21,2020,2,12,5,390,86525
22,2020,2,14,1,390,86525
23,2020,2,17,13,470,114000
24,2020,2,9,12,390,86525
25,2020,2,23,19,390,86525
26,2020,2,8,2,470,114000
27,2020,2,13,8,390,86525
28,2020,2,4,16,390,86525
29,2020,2,21,11,390,86525
30,2020,2,19,20,420,157678
31,2020,2,18,9,390,86525
32,2020,2,22,4,470,114000
33,2020,2,24,7,470,114000
34,2020,2,18,7,470,114000
35,2020,2,24,1,390,86525
36,2020,2,13,4,470,114000
37,2020,2,21,2,470,114000
38,2020,2,23,2,420,157678
39,2020,2,20,5,470,114000
40,2020,2,10,12,470,114000
41,2020,2,20,21,420,157678
42,2020,2,17,14,390,86525
43,2020,2,2,21,470,114000
44,2020,2,22,8,420,157678
45,2020,2,9,7,470,114000
46,2020,2,14,8,470,114000
47,2020,2,27,12,420,157678
48,2020,2,25,3,420,157678
