No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,20,17,790,93000
1,2020,2,25,0,760,130000
2,2020,2,9,10,760,130000
3,2020,2,23,9,790,93000
4,2020,2,21,22,760,130000
5,2020,2,24,16,790,93000
6,2020,2,7,9,550,239414
7,2020,2,8,5,810,93000
8,2020,2,21,6,790,93000
9,2020,2,2,15,850,93000
10,2020,2,17,18,760,130000
11,2020,2,6,6,550,239414
12,2020,2,23,1,550,239414
13,2020,2,13,22,790,93000
14,2020,2,19,18,790,93000
15,2020,2,22,2,790,93000
16,2020,2,12,5,760,130000
17,2020,2,5,14,810,93000
18,2020,2,8,6,550,239414
19,2020,2,12,8,790,93000
20,2020,2,4,19,810,93000
21,2020,2,21,11,550,239414
22,2020,2,14,8,790,93000
23,2020,2,18,9,550,239414
24,2020,2,24,14,550,239414
25,2020,2,10,19,760,130000
26,2020,2,6,7,760,130000
27,2020,2,5,16,760,130000
28,2020,2,14,4,550,239414
29,2020,2,12,13,550,239414
30,2020,2,13,14,550,239414
31,2020,2,4,5,760,130000
32,2020,2,6,18,810,93000
33,2020,2,9,7,550,239414
34,2020,2,3,4,760,130000
35,2020,2,9,8,810,93000
36,2020,2,3,19,810,93000
37,2020,2,2,8,760,130000
38,2020,2,13,6,760,130000
39,2020,2,2,10,550,239414
40,2020,2,22,20,550,239414
41,2020,2,24,10,760,130000
42,2020,2,5,1,550,239414
43,2020,2,20,7,760,130000
44,2020,2,17,19,550,239414
45,2020,2,8,14,760,130000
46,2020,2,4,16,550,239414
47,2020,2,10,0,550,239414
48,2020,2,18,7,760,130000
49,2020,2,25,2,790,93000
50,2020,2,19,10,550,239414
51,2020,4,2,4,550,239414
52,2020,5,6,8,630,189403
53,2020,4,9,11,889,131251
54,2020,2,3,11,550,239414
55,2020,2,22,22,760,130000
56,2020,2,19,12,760,130000
57,2020,4,9,10,630,189403
58,2020,4,3,15,630,189403
59,2020,2,7,21,810,93000
60,2020,2,3,5,850,93000
61,2020,3,25,12,550,239414
62,2020,4,3,13,889,131251
63,2020,2,7,5,760,130000
64,2020,2,10,13,810,93000
65,2020,2,25,10,550,239414
66,2020,3,25,11,889,131251
67,2020,4,23,2,630,189403
68,2020,2,17,18,790,93000
69,2020,2,20,18,550,239414
70,2020,2,23,6,760,130000
71,2020,2,14,5,760,130000
72,2020,4,3,12,550,239414
