No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,17,1660,12892
1,2020,2,21,2,1660,12892
2,2020,2,12,16,1660,12892
3,2020,2,23,19,1660,12892
4,2020,2,9,21,1660,12892
5,2020,2,20,13,1660,12892
6,2020,2,7,19,1660,12892
7,2020,2,13,3,1660,12892
8,2020,2,8,15,1660,12892
9,2020,2,18,9,1660,12892
10,2020,2,4,1,1660,12892
11,2020,2,3,0,1660,12892
12,2020,2,22,2,1660,12892
13,2020,2,24,13,1660,12892
14,2020,2,2,22,1660,12892
15,2020,2,14,8,1660,12892
16,2020,2,25,10,1660,12892
17,2020,2,5,17,1660,12892
18,2020,2,10,4,1660,12892
19,2020,2,19,13,1660,12892
