No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,22,15,1070,56000
1,2020,2,17,21,1070,56000
2,2020,2,5,16,950,61230
3,2020,2,19,12,1070,56000
4,2020,2,14,1,1070,56000
5,2020,2,22,8,950,61230
6,2020,2,23,11,950,61230
7,2020,2,8,4,1070,56000
8,2020,2,13,14,1070,56000
9,2020,2,12,10,1070,56000
10,2020,2,20,5,950,61230
11,2020,2,10,6,1070,56000
12,2020,2,6,22,950,61230
13,2020,2,7,16,950,61230
14,2020,2,21,17,1070,56000
15,2020,2,10,8,950,61230
16,2020,2,13,21,950,61230
17,2020,2,9,6,1070,56000
18,2020,2,2,18,950,61230
19,2020,2,4,18,1070,56000
20,2020,2,5,12,1070,56000
21,2020,2,19,15,950,61230
22,2020,2,25,2,1070,56000
23,2020,2,3,8,1070,56000
24,2020,2,3,8,950,61230
25,2020,2,24,4,1070,56000
26,2020,2,7,1,1070,56000
27,2020,2,12,23,950,61230
28,2020,2,8,0,950,61230
29,2020,2,21,20,950,61230
30,2020,2,14,1,950,61230
31,2020,2,4,3,950,61230
32,2020,2,20,18,1070,56000
33,2020,2,6,6,1070,56000
34,2020,2,23,22,1070,56000
35,2020,2,2,8,1070,56000
36,2020,4,3,14,990,56000
37,2020,2,24,17,950,61230
38,2020,4,2,6,990,56000
39,2020,2,9,11,950,61230
40,2020,2,18,4,950,61230
41,2020,2,18,3,1070,56000
