No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,3,540,253287
1,2020,2,12,18,540,253287
2,2020,2,3,9,540,253287
3,2020,2,9,7,540,253287
4,2020,2,4,0,540,253287
5,2020,2,10,4,540,253287
6,2020,2,20,23,540,253287
7,2020,2,7,14,540,253287
8,2020,2,6,20,540,253287
9,2020,2,25,2,540,253287
10,2020,2,22,8,540,253287
11,2020,2,2,8,540,253287
12,2020,2,5,1,540,253287
13,2020,2,14,0,540,253287
14,2020,2,18,6,540,253287
15,2020,4,9,11,620,116687
16,2020,2,17,18,540,253287
17,2020,2,27,12,540,253287
18,2020,2,19,11,540,253287
19,2020,2,23,21,540,253287
20,2020,2,24,1,540,253287
21,2020,2,8,7,540,253287
22,2020,2,21,1,540,253287
23,2020,3,25,10,620,116687
24,2020,5,6,8,490,116687
