No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,5,1270,66857
1,2020,2,22,3,1240,66857
2,2020,2,3,23,1030,153097
3,2020,2,24,18,1360,40522
4,2020,2,23,15,1340,34741
5,2020,2,22,21,1030,153097
6,2020,2,10,7,1350,34741
7,2020,2,4,23,1030,153097
8,2020,2,25,9,1240,66857
9,2020,2,13,22,1030,153097
10,2020,2,12,4,1350,34741
11,2020,2,7,13,1030,153097
12,2020,2,6,22,1190,90242
13,2020,2,20,7,1240,66857
14,2020,2,14,4,1190,90242
15,2020,2,3,9,1350,34741
16,2020,2,22,19,1340,34741
17,2020,2,13,12,1270,66857
18,2020,2,20,18,1360,40522
19,2020,2,19,21,1360,40522
20,2020,2,9,6,1190,90242
21,2020,2,8,14,1190,90242
22,2020,2,21,18,1190,90242
23,2020,2,10,11,1030,153097
24,2020,2,25,2,1190,90242
25,2020,2,23,22,1360,40522
26,2020,2,22,1,1350,34741
27,2020,2,9,18,1350,34741
28,2020,2,13,9,1190,90242
29,2020,2,12,23,1030,153097
30,2020,2,8,11,1250,66857
31,2020,2,13,6,1350,34741
32,2020,2,23,18,1240,66857
33,2020,2,20,18,1030,153097
34,2020,2,22,22,1360,40522
35,2020,2,21,5,1030,153097
36,2020,2,7,21,1250,66857
37,2020,2,18,8,1360,40522
38,2020,5,6,8,4850,16535
39,2020,2,24,14,1240,66857
40,2020,2,25,6,1340,34741
41,2020,2,18,8,1240,66857
42,2020,2,22,9,1190,90242
43,2020,2,24,9,1340,34741
44,2020,2,17,12,1360,40522
45,2020,2,5,17,1030,153097
46,2020,2,5,21,1350,34741
47,2020,2,14,5,1030,153097
48,2020,2,10,18,1250,66857
49,2020,2,19,16,1240,66857
50,2020,2,6,12,1350,34741
51,2020,2,5,10,1190,90242
52,2020,2,21,11,1360,40522
53,2020,2,4,13,1350,34741
54,2020,2,2,23,1030,153097
55,2020,2,14,4,1350,34741
56,2020,2,17,12,1030,153097
57,2020,2,20,10,1350,34741
58,2020,2,12,11,1190,90242
59,2020,5,6,7,1330,34741
60,2020,2,19,22,1030,153097
61,2020,2,10,16,1190,90242
62,2020,2,7,19,1190,90242
63,2020,2,9,10,1250,66857
64,2020,2,21,14,1240,66857
65,2020,2,4,20,1190,90242
66,2020,2,19,10,1350,34741
67,2020,2,3,5,1190,90242
68,2020,2,18,7,1030,153097
69,2020,4,3,13,1160,90242
70,2020,2,23,5,1030,153097
71,2020,2,24,6,1190,90242
72,2020,2,8,22,1030,153097
73,2020,2,2,12,1190,90242
74,2020,2,17,20,1240,66857
75,2020,2,9,8,1030,153097
76,2020,2,6,20,1030,153097
77,2020,2,25,10,1360,40522
78,2020,2,24,0,1030,153097
79,2020,2,17,13,1350,34741
80,2020,2,20,6,1190,90242
81,2020,2,21,19,1350,34741
82,2020,2,23,1,1190,90242
83,2020,2,12,12,1250,66857
84,2020,2,2,13,1350,34741
85,2020,2,13,7,1250,66857
86,2020,2,25,8,1030,153097
87,2020,2,7,15,1350,34741
88,2020,2,27,12,1360,40522
89,2020,2,8,18,1350,34741
90,2020,4,3,12,1390,34741
91,2020,2,18,10,1190,90242
92,2020,2,18,4,1350,34741
93,2020,3,25,12,1190,90242
