No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,3,790,0
1,2020,2,9,5,790,0
2,2020,2,17,19,780,60758
3,2020,2,23,17,790,60758
4,2020,2,8,8,790,0
5,2020,2,14,2,780,60758
6,2020,2,12,14,780,60758
7,2020,2,19,23,780,60758
8,2020,2,24,12,790,60758
9,2020,2,6,22,790,0
10,2020,2,4,17,790,0
11,2020,2,22,21,790,60758
12,2020,2,2,14,790,0
13,2020,2,10,17,790,0
14,2020,2,5,12,790,0
15,2020,2,20,16,780,60758
16,2020,2,13,9,780,60758
17,2020,2,21,3,780,60758
18,2020,2,3,20,790,0
19,2020,2,21,13,790,60758
20,2020,2,25,4,790,60758
21,2020,2,18,6,780,60758
