No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,2,22,750,89709
1,2020,2,21,11,750,89709
2,2020,2,12,3,750,89709
3,2020,2,5,20,750,89709
4,2020,2,4,12,750,89709
5,2020,2,8,3,750,89709
6,2020,2,3,19,750,89709
7,2020,2,13,23,750,89709
8,2020,2,7,17,750,89709
9,2020,2,9,6,750,89709
10,2020,2,22,10,750,89709
11,2020,2,23,20,750,89709
12,2020,2,25,7,750,89709
13,2020,2,6,16,750,89709
14,2020,2,20,7,750,89709
15,2020,2,10,13,750,89709
16,2020,2,14,0,750,89709
17,2020,2,24,22,750,89709
18,2020,2,18,4,750,89709
19,2020,2,19,10,750,89709
20,2020,2,17,21,750,89709
